"NSDUH_data.ID" "NSDUH_data.NEWRACE" "NSDUH_data.NEWRACE2"
"419" 419 2 2
"420" 420 7 7
"421" 421 1 1
"422" 422 2 2
"423" 423 7 7
"424" 424 7 7
"425" 425 1 1
"426" 426 7 7
"427" 427 7 7
"428" 428 5 5
"429" 429 1 1
"430" 430 7 7
"431" 431 7 7
"432" 432 1 1
"433" 433 1 1
"434" 434 1 1
"435" 435 1 1
"436" 436 2 2
"437" 437 7 7
"438" 438 2 2
"439" 439 7 7
"440" 440 1 1
"441" 441 1 1
"442" 442 6 6
"443" 443 1 1
"444" 444 1 1
"445" 445 1 1
"446" 446 1 1
"447" 447 1 1
"448" 448 7 7
"449" 449 1 1
"450" 450 2 2
"451" 451 2 2
"452" 452 2 2
"453" 453 1 1
"454" 454 2 2
"455" 455 6 6
"456" 456 5 5
"457" 457 1 1
"458" 458 2 2
"459" 459 7 7
"460" 460 1 1
"461" 461 1 1
"462" 462 1 1
"463" 463 1 1
"464" 464 6 6
"465" 465 1 1
"466" 466 7 7
"467" 467 1 1
"468" 468 1 1
"469" 469 1 1
"470" 470 2 2
"471" 471 2 2
"472" 472 1 1
"473" 473 1 1
"474" 474 1 1
"475" 475 1 1
"476" 476 1 1
"477" 477 1 1
"478" 478 6 6
"479" 479 7 7
"480" 480 7 7
"481" 481 5 5
"482" 482 7 7
"483" 483 1 1
"484" 484 1 1
"485" 485 2 2
"486" 486 1 1
"487" 487 1 1
"488" 488 1 1
"489" 489 1 1
"490" 490 1 1
"491" 491 1 1
"492" 492 7 7
"493" 493 2 2
"494" 494 6 6
"495" 495 7 7
"496" 496 1 1
"497" 497 1 1
"498" 498 2 2
"499" 499 1 1
"500" 500 2 2
"501" 501 1 1
"502" 502 1 1
"503" 503 7 7
"504" 504 7 7
"505" 505 1 1
"506" 506 1 1
"507" 507 1 1
"508" 508 1 1
"509" 509 7 7
"510" 510 2 2
"511" 511 1 1
"512" 512 1 1
"513" 513 1 1
"514" 514 1 1
"515" 515 2 2
"516" 516 1 1
"517" 517 1 1
"518" 518 1 1
"519" 519 7 7
"520" 520 1 1
"521" 521 1 1
"522" 522 7 7
"523" 523 1 1
"524" 524 2 2
"525" 525 2 2
"526" 526 1 1
"527" 527 6 6
"528" 528 1 1
"529" 529 7 7
"530" 530 1 1
"531" 531 5 5
"532" 532 7 7
"533" 533 1 1
"534" 534 7 7
"535" 535 6 6
"536" 536 1 1
"537" 537 7 7
"538" 538 7 7
"539" 539 1 1
"540" 540 7 7
"541" 541 7 7
"542" 542 2 2
"543" 543 5 5
"544" 544 1 1
"545" 545 1 1
"546" 546 7 7
"547" 547 1 1
"548" 548 1 1
"549" 549 1 1
"550" 550 5 5
"551" 551 1 1
"552" 552 7 7
"553" 553 6 6
"554" 554 1 1
"555" 555 6 6
"556" 556 7 7
"557" 557 7 7
"558" 558 1 1
"559" 559 1 1
"560" 560 1 1
"561" 561 3 3
"562" 562 7 7
"563" 563 1 1
"564" 564 1 1
"565" 565 2 2
"566" 566 1 1
"567" 567 5 5
"568" 568 7 7
"569" 569 6 6
"570" 570 1 1
"571" 571 1 1
"572" 572 1 1
"573" 573 1 1
"574" 574 7 7
"575" 575 5 5
"576" 576 1 1
"577" 577 4 4
"578" 578 1 1
"579" 579 1 1
"580" 580 1 1
"581" 581 6 6
"582" 582 1 1
"583" 583 2 2
"584" 584 2 2
"585" 585 1 1
"586" 586 2 2
"587" 587 1 1
"588" 588 1 1
"589" 589 7 7
"590" 590 1 1
"591" 591 7 7
"592" 592 1 1
"593" 593 1 1
"594" 594 1 1
"595" 595 1 1
"596" 596 1 1
"597" 597 7 7
"598" 598 1 1
"599" 599 1 1
"600" 600 1 1
"601" 601 1 1
"602" 602 1 1
"603" 603 2 2
"604" 604 5 5
"605" 605 1 1
"606" 606 1 1
"607" 607 1 1
"608" 608 1 1
"609" 609 1 1
"610" 610 1 1
"611" 611 2 2
"612" 612 1 1
"613" 613 7 7
"614" 614 1 1
"615" 615 1 1
"616" 616 1 1
"617" 617 1 1
"618" 618 2 2
"619" 619 7 7
"620" 620 7 7
"621" 621 1 1
"622" 622 1 1
"623" 623 1 1
"624" 624 7 7
"625" 625 1 1
"626" 626 2 2
"627" 627 2 2
"628" 628 1 1
"629" 629 1 1
"630" 630 1 1
"631" 631 1 1
"632" 632 1 1
"633" 633 5 5
"634" 634 2 2
"635" 635 1 1
"636" 636 7 7
"637" 637 5 5
"638" 638 2 2
"639" 639 1 1
"640" 640 3 3
"641" 641 1 1
"642" 642 1 1
"643" 643 2 2
"644" 644 1 1
"645" 645 1 1
"646" 646 1 1
"647" 647 7 7
"648" 648 5 5
"649" 649 7 7
"650" 650 1 1
"651" 651 1 1
"652" 652 1 1
"653" 653 1 1
"654" 654 2 2
"655" 655 7 7
"656" 656 1 1
"657" 657 1 1
"658" 658 1 1
"659" 659 1 1
"660" 660 1 1
"661" 661 5 5
"662" 662 1 1
"663" 663 7 7
"664" 664 1 1
"665" 665 1 1
"666" 666 2 2
"667" 667 1 1
"668" 668 7 7
"669" 669 1 1
"670" 670 6 6
"671" 671 1 1
"672" 672 5 5
"673" 673 1 1
"674" 674 1 1
"675" 675 1 1
"676" 676 1 1
"677" 677 1 1
"678" 678 6 6
"679" 679 7 7
"680" 680 1 1
"681" 681 1 1
"682" 682 1 1
"683" 683 1 1
"684" 684 7 7
"685" 685 1 1
"686" 686 1 1
"687" 687 1 1
"688" 688 1 1
"689" 689 7 7
"690" 690 1 1
"691" 691 2 2
"692" 692 2 2
"693" 693 7 7
"694" 694 1 1
"695" 695 1 1
"696" 696 1 1
"697" 697 1 1
"698" 698 5 5
"699" 699 1 1
"700" 700 7 7
"701" 701 1 1
"702" 702 1 1
"703" 703 1 1
"704" 704 2 2
"705" 705 2 2
"706" 706 1 1
"707" 707 1 1
"708" 708 1 1
"709" 709 1 1
"710" 710 1 1
"711" 711 2 2
"712" 712 5 5
"713" 713 6 6
"714" 714 7 7
"715" 715 2 2
"716" 716 1 1
"717" 717 1 1
"718" 718 1 1
"719" 719 1 1
"720" 720 3 3
"721" 721 1 1
"722" 722 7 7
"723" 723 7 7
"724" 724 5 5
"725" 725 1 1
"726" 726 2 2
"727" 727 1 1
"728" 728 1 1
"729" 729 1 1
"730" 730 1 1
"731" 731 1 1
"732" 732 2 2
"733" 733 1 1
"734" 734 1 1
"735" 735 1 1
"736" 736 7 7
"737" 737 7 7
"738" 738 1 1
"739" 739 1 1
"740" 740 1 1
"741" 741 1 1
"742" 742 2 2
"743" 743 7 7
"744" 744 2 2
"745" 745 1 1
"746" 746 7 7
"747" 747 1 1
"748" 748 7 7
"749" 749 1 1
"750" 750 1 1
"751" 751 7 7
"752" 752 1 1
"753" 753 7 7
"754" 754 1 1
"755" 755 1 1
"756" 756 7 7
"757" 757 2 2
"758" 758 1 1
"759" 759 1 1
"760" 760 1 1
"761" 761 2 2
"762" 762 1 1
"763" 763 1 1
"764" 764 1 1
"765" 765 1 1
"766" 766 1 1
"767" 767 7 7
"768" 768 1 1
"769" 769 1 1
"770" 770 1 1
"771" 771 1 1
"772" 772 5 5
"773" 773 1 1
"774" 774 5 5
"775" 775 7 7
"776" 776 7 7
"777" 777 1 1
"778" 778 5 5
"779" 779 7 7
"780" 780 1 1
"781" 781 5 5
"782" 782 1 1
"783" 783 1 1
"784" 784 1 1
"785" 785 6 6
"786" 786 7 7
"787" 787 2 2
